state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,2174761,2181026,2191746,2203508,2213610,2225606,2238800,2254615,2270705,2284847
Alaska,307181,308498,310002,311243,312396,313933,315361,316910,318307,319854
Arizona,2849425,2859978,2872651,2891186,2914100,2936981,2966542,3000102,3037005,3075981
Arkansas,1318072,1324638,1330927,1338640,1345392,1352639,1360401,1369522,1379970,1389129
California,13688147,13728423,13771156,13827794,13906691,13985614,14075264,14172348,14275353,14366336
Colorado,2215012,2226631,2239177,2261232,2287950,2316814,2347589,2384092,2422816,2464164
Connecticut,1488645,1491803,1494237,1498157,1502807,1507299,1512528,1517251,1521019,1524992
Delaware,406498,408937,411192,414557,418666,423137,427667,432753,438617,443781
District of Columbia,296688,296365,299822,302495,304590,307566,311257,314702,319462,322793
Florida,8995100,9020844,9049994,9100944,9173108,9242686,9337379,9438687,9545770,9673682
Georgia,4091968,4103201,4115888,4134096,4163931,4196717,4235301,4280497,4325462,4378391
Hawaii,520088,523213,525678,528391,531961,534723,539757,542815,545974,550273
Idaho,668964,673018,676966,683118,691574,700080,709739,721587,735514,751105
Illinois,5297593,5302784,5307183,5313209,5320642,5333389,5344777,5358908,5375571,5388066
Indiana,2797490,2806770,2815736,2826106,2840421,2854584,2869448,2884772,2903203,2921032
Iowa,1337792,1343427,1348745,1356423,1366191,1375304,1385453,1397680,1409413,1418626
Kansas,1234456,1238052,1241992,1246675,1253284,1258999,1265684,1273536,1280649,1288401
Kentucky,1928556,1934697,1940609,1948490,1955535,1963049,1972133,1983422,1994543,2006358
Louisiana,1968181,1978988,1990709,2002712,2015806,2030269,2043163,2060665,2075397,2089777
Maine,722481,724968,727147,729642,732586,735433,738762,742490,746534,750939
Maryland,2380132,2386743,2394788,2404438,2416438,2426669,2437416,2448604,2458577,2470316
Massachusetts,2809885,2817715,2826209,2838058,2851556,2865240,2881140,2896402,2913825,2928732
Michigan,4532225,4535204,4539456,4546159,4553857,4564395,4577865,4594590,4614123,4629611
Minnesota,2348693,2356135,2362646,2375704,2389731,2403402,2419289,2437254,2455773,2477753
Mississippi,1276500,1281541,1286798,1292939,1299780,1307017,1314346,1322503,1331467,1339021
Missouri,2714627,2719902,2726543,2735758,2746573,2760142,2774831,2790414,2806113,2819383
Montana,483622,486458,489012,491908,496807,500699,505465,510117,514945,519935
Nebraska,797662,801864,805952,811042,817387,823768,830581,837246,844789,851227
Nevada,1175380,1181308,1186964,1195523,1206192,1218571,1231986,1249298,1268408,1285684
New Hampshire,615222,617468,619513,621531,624038,627418,630930,634581,638038,642315
New Jersey,3556442,3562488,3571417,3577400,3583860,3593446,3604284,3615557,3628032,3641812
New Mexico,903049,907864,912487,917303,922459,927625,932294,937601,942944,948473
New York,8115218,8143255,8170062,8193686,8219287,8243556,8281968,8321682,8362686,8404381
North Carolina,4334128,4360685,4386498,4427718,4472159,4515185,4567285,4621314,4683620,4747943
North Dakota,318342,322505,330538,341333,351934,364615,370541,374232,377300,380173
Ohio,5128641,5134668,5140801,5149977,5162087,5173946,5186007,5201015,5217125,5232869
Oklahoma,1666053,1672350,1679530,1688809,1700498,1712535,1722118,1732215,1741344,1749464
Oregon,1677303,1683702,1690875,1701000,1715293,1731166,1748408,1767940,1788249,1808465
Pennsylvania,5571046,5587336,5599169,5614657,5632733,5654171,5673520,5693469,5712698,5732628
Rhode Island,463566,464239,464689,465161,465829,466518,467258,468235,469145,470168
South Carolina,2140804,2151618,2164113,2179880,2201469,2225969,2254296,2284232,2318035,2351286
South Dakota,364280,366916,369613,373544,378728,383223,387319,392519,397443,401862
Tennessee,2814921,2827867,2839707,2856478,2877456,2901217,2929275,2960881,2995928,3028213
Texas,9996584,10077002,10167972,10298263,10441871,10604257,10769844,10927693,11098471,11283353
Utah,982128,990899,1000701,1013622,1028617,1045397,1062768,1084810,1108655,1133521
Vermont,322975,324434,325821,327315,328991,330897,332921,335183,337084,339439
Virginia,3368654,3383394,3400385,3421123,3446117,3467556,3488641,3512201,3538415,3562143
Washington,2889609,2909741,2929600,2957219,2989310,3021811,3061095,3103921,3149222,3195004
West Virginia,882225,883638,884773,886353,887730,889147,890644,892048,893621,894956
Wisconsin,2625932,2632919,2639008,2647111,2656978,2667522,2680051,2695083,2710512,2725296
Wyoming,262437,264697,266850,268985,271312,273221,275045,276708,278568,280291
