"state","date","fips","cases","deaths","total_population","pop_age_65","pop_age_75","pop_age_85","pop_age_75_plus","pop_age_65_plus","poverty_65_plus","poverty_some_college","poverty_bachelor","percent_in_poverty","population_in_poverty","poverty_higher_edu","edu_assoc_under_24","edu_bachelor_under_24","edu_nodegree_over_25","edu_assoc_over_25","edu_bachelor_over_25","edu_bachelor_over_65","edu_hs_under_24","edu_hs_over_25","edu_higher_edu_18_plus","edu_higher_edu_25_plus","edu_hs_18_plus","edu_hs_or_higher_18_plus","edu_hs_or_higher_25_plus","total_housing_units","less_than_1person_room","more_than_1person_room","more_than_1.5person_room","one_plus_person_room","total_households","with_computer","wo_computer","with_internet","wo_internet","wo_computer_pct","wo_internet_pct","landarea","casesperlakh","deathsperlakh","pop_den","log_pop_den","house_per_capita","hs_edu_18_plus_percent","hs_edu_25_plus_percent","hs_or_higher_18_plus_percent","hs_or_higher_25_plus_percent","higher_edu_18_plus_per_capita","higher_edu_25_plus_per_capita","pct_age_65_plus","pct_age_75_plus","pct_age_85_plus"
"Alabama",2021-03-26,1,513580,10523,4903185,505557,264071,84684,348755,854312,87821,104971,37725,15.5,4781688,142696,207319,34996,700473,301914,885357,197953,158761,1039241,2130059,1887744,1198002,3328061,2926985,2284922,1868767,21837,6972,28809,1897576,1696826,200750,1554796,342780,0.105792864159327,0.18064098618448,50645,10474.4161193184,214.615601899582,96.8147892190739,1.98594170426746,0.466007707235195,0.244331388678991,0.211952231049818,0.678754931743346,0.596955856244461,0.434423543064355,0.385003625194644,0.174236134267828,0.0711282564292394,0.0172712226848467
"Alaska",2021-03-26,2,61744,299,731545,61658,22265,6665,28930,90588,6160,11030,4631,10.1,713725,15661,28997,3121,124261,43394,146157,27861,27173,139156,345930,313812,166329,512259,452968,319867,235229,9808,7162,16970,252199,240277,11922,221864,30335,0.0472721937834805,0.120281999532116,570641,8440.21898857897,40.8724001941097,1.28197062601531,0.107878074242382,0.437248562972886,0.227366737521273,0.190222064261255,0.700242637158343,0.619193624452358,0.472875899637069,0.428971560191102,0.123831069858997,0.0395464393851369,0.00911085442453984
"Arizona",2021-03-26,4,838558,16898,7278717,751831,424605,130805,555410,1307241,116689,159520,70436,13.5,7116266,229956,276860,69933,1236845,431854,1492158,405406,246748,1170685,3507650,3160857,1417433,4925083,4331542,3076048,2554926,78808,36707,115515,2670441,2526296,144145,2334078,336363,0.0539779759223289,0.12595784741172,113594,11520.6842084944,232.156298974119,64.0765973554941,1.80669944145058,0.42260854488504,0.194736654825294,0.160836724384256,0.676641638904219,0.595096910623122,0.481904984078925,0.434260186238866,0.179597723060259,0.0763060303072643,0.0179708869021834
"Arkansas",2021-03-26,5,329695,5583,3017804,303422,162243,58572,220815,524237,53496,71462,23019,16.2,2929117,94481,126196,25465,444052,151738,475367,107327,97402,710306,1222818,1071157,807708,2030526,1781463,1389159,1130702,25102,7843,32945,1163647,1040974,122673,931953,231694,0.10542114575984,0.199110211258225,52035,10924.997117109,185.002074356055,57.9956567694821,1.76339547094785,0.460321147430383,0.267647600705679,0.235371813411342,0.672848866261692,0.590317661451837,0.405201265556014,0.354945848040496,0.173714727662897,0.073170755953667,0.0194088151516798
"California",2021-03-26,6,3656693,58603,39512223,3391856,1725842,717300,2443142,5834998,599877,674644,423517,11.8,38733295,1098161,1736881,427410,5542372,2118792,9428484,1883186,1151214,5546711,19253939,17089648,6697925,25951864,22636359,14367012,12082511,687977,387385,1075362,13157873,12513521,644352,11836937,1320936,0.0489708328998159,0.100391301846431,155779,9254.58686543655,148.316129922632,253.642808080678,2.40422255261772,0.363609306416397,0.169515266200031,0.140379623793883,0.656805971154799,0.572895101346234,0.487290704954768,0.432515477552351,0.147675771115181,0.0618325625465315,0.0181538760803208
"Colorado",2021-03-26,8,458106,6161,5758736,524969,231835,88574,320409,845378,59512,94487,60367,9.3,5637904,154854,221559,72398,805570,334961,1695602,331298,167955,836590,3130090,2836133,1004545,4134635,3672723,2464109,2175409,40248,19446,59694,2235103,2139280,95823,2038559,196544,0.0428718497536803,0.087935097398196,103642,7954.97484170137,106.985282881521,55.5637289901777,1.74479138439302,0.427890599603802,0.174438453160555,0.145273198840857,0.717976132262358,0.637765474923664,0.543537679101803,0.492492276082807,0.146799228163958,0.0556387721194373,0.0153808057879368
"Connecticut",2021-03-26,9,305210,7865,3565287,352559,187950,88523,276473,629032,44320,46241,32216,10,3460446,78457,147669,56431,410972,190700,994548,215381,102175,668361,1800320,1596220,770536,2570856,2264581,1524959,1354879,14981,7306,22287,1377166,1282417,94749,1222955,154211,0.0687999848965194,0.111977060136541,4842,8560.60115216531,220.59935146876,736.325278810409,2.86706971051258,0.427724051387728,0.216121731574485,0.18746344964655,0.721079677456541,0.635174952254896,0.504957945882057,0.447711502608345,0.176432360143798,0.0775457908437666,0.0248291371774558
"Delaware",2021-03-26,10,93325,1536,973764,112847,57991,18800,76791,189638,13532,13679,8182,11.3,944955,21861,38168,8262,128063,56885,228199,56389,26864,207642,459577,413147,234506,694083,620789,443764,369485,4838,1916,6754,376239,354092,22147,334478,41761,0.05886417941787,0.110995936093813,1949,9583.9443643429,157.738425326876,499.622370446383,2.69864187554661,0.45572027719242,0.240824265427763,0.213236472081531,0.71278359027444,0.637514839324518,0.471959324846677,0.424278367242987,0.194747392592045,0.078859970177579,0.0193065260165707
"Florida",2021-03-26,12,2033171,33115,21477737,2463083,1474050,561065,2035115,4498198,474898,420035,247191,12.7,21048884,667226,755137,187532,3001381,1538727,4753637,1314017,565965,4396122,10236414,9293745,4962087,15198501,13689867,9674053,7676144,161753,67935,229688,7905832,7470061,435771,6875957,1029875,0.0551201948131455,0.130267756764879,53625,9466.41166152654,154.182910424874,400.51724009324,2.60262121484277,0.45042236060531,0.231033977182978,0.204682737292109,0.707639776015509,0.637398018236279,0.476605798832531,0.43271528094417,0.209435379528113,0.0947546289443809,0.0261230966744774
"Georgia",2021-03-26,13,1028447,18275,10617423,933722,444890,144580,589470,1523192,155317,182111,87756,13.3,10332523,269867,420323,103363,1414554,568130,2301568,408083,355413,1939945,4807938,4284252,2295358,7103296,6224197,4378350,3773378,57140,22196,79336,3852714,3565892,286822,3282084,570630,0.0744467406612585,0.148111175654357,57513,9686.40883950842,172.122745792458,184.609097073705,2.266253098161,0.412374076082304,0.216187864041962,0.182713357092394,0.669022605579527,0.586224830639224,0.452834741537565,0.40351147354683,0.143461553712233,0.055519121730386,0.0136172402663057
"Hawaii",2021-03-26,15,29322,456,1415872,153238,78564,37668,116232,269470,23033,21706,13116,9.3,1379078,34822,48997,9786,205964,106096,335209,85559,51471,273421,706052,647269,324892,1030944,920690,550328,425553,22772,16974,39746,465299,432658,32641,410299,55000,0.070150591340192,0.118203563729989,6423,2070.94991637662,32.2063011345658,220.437801650319,2.34328607130691,0.388684852868056,0.229464245355512,0.193111382949871,0.728133616598111,0.650263583148759,0.498669371242598,0.457152200198888,0.190320876463409,0.0820921665235275,0.0266040998056321
"Idaho",2021-03-26,16,179313,1957,1787065,174120,86347,28150,114497,288617,19511,35925,12594,11.2,1753946,48519,71369,12857,304578,124584,336655,80885,62538,305274,850043,765817,367812,1217855,1071091,751113,637259,14113,4487,18600,655859,620888,34971,582464,73395,0.0533209119643094,0.11190667506278,82643,10033.9383290479,109.50916726588,21.6239124910761,1.33493427516571,0.420305361024921,0.205819038479294,0.170824228553522,0.681483326012204,0.599357605906892,0.47566428753291,0.42853337735337,0.161503358859359,0.0640698575597418,0.0157520851228131
"Illinois",2021-03-26,17,1236528,23472,12671821,1182015,609326,254020,863346,2045361,170042,216429,119577,11.5,12373209,336006,512846,171311,1737416,710058,3108972,562900,342491,2255611,6240603,5556446,2598102,8838705,7812057,5388210,4755298,77456,33252,110708,4866006,4487080,378926,4192520,673486,0.0778720782506228,0.138406323378968,55519,9758.09238466989,185.229889216396,228.24296186891,2.35839739444896,0.425211972296641,0.205029884812925,0.17800211982161,0.697508669038175,0.61649047915055,0.492478784225251,0.438488359328939,0.161410187217765,0.068131170729132,0.0200460533651793
"Indiana",2021-03-26,18,685382,13002,6732219,637375,319196,127901,447097,1084472,80303,106562,49513,11.9,6517430,156075,262282,71209,896654,397627,1212826,235394,235436,1526825,2840598,2507107,1762261,4602859,4033932,2921115,2558737,29341,9687,39028,2597765,2367468,230297,2187463,410302,0.0886519758330719,0.157944232830914,35826,10180.6254371701,193.130972120782,187.914335957126,2.27395991362674,0.433900768825257,0.261765251546333,0.226793721356955,0.683706070762107,0.599197976179919,0.421940819215774,0.372404254822964,0.161086857097192,0.0664115353347834,0.0189983421513768
