State,TotalArea_Sq.Mi.,TotalArea_Sq.Km.,LandArea_Sq.Mi.,LandArea_Sq.Km.
Alabama,52420,135767,50645,131171
Alaska,665384,1723337,570641,1477953
Arizona,113990,295234,113594,294207
Arkansas,53179,137732,52035,134771
California,163695,423967,155779,403466
Colorado,104094,269601,103642,268431
Connecticut,5543,14357,4842,12542
Delaware,2489,6446,1949,5047
District of Columbia,68,177,61,158
Florida,65758,170312,53625,138887
Georgia,59425,153910,57513,148959
Hawaii,10932,28313,6423,16635
Idaho,83569,216443,82643,214045
Illinois,57914,149995,55519,143793
Indiana,36420,94326,35826,92789
Iowa,56273,145746,55857,144669
Kansas,82278,213100,81759,211754
Kentucky,40408,104656,39486,102269
Louisiana,52378,135659,43204,111898
Maine,35380,91633,30843,79883
Maryland,12406,32131,9707,25142
Massachusetts,10554,27336,7800,20202
Michigan,96714,250487,56539,146435
Minnesota,86936,225163,79627,206232
Mississippi,48432,125438,46923,121531
Missouri,69707,180540,68742,178040
Montana,147040,380831,145546,376962
Nebraska,77348,200330,76824,198974
Nevada,110572,286380,109781,284332
New Hampshire,9349,24214,8953,23187
New Jersey,8723,22591,7354,19047
New Mexico,121590,314917,121298,314161
New York,54555,141297,47126,122057
North Carolina,53819,139391,48618,125920
North Dakota,70698,183108,69001,178711
Ohio,44826,116098,40861,105829
Oklahoma,69899,181037,68595,177660
Oregon,98379,254799,95988,248608
Pennsylvania,46054,119280,44743,115883
Rhode Island,1545,4001,1034,2678
South Carolina,32020,82933,30061,77857
South Dakota,77116,199729,75811,196350
Tennessee,42144,109153,41235,106798
Texas,268596,695662,261232,676587
Utah,84897,219882,82170,212818
Vermont,9616,24906,9217,23871
Virginia,42775,110787,39490,102279
Washington,71298,184661,66456,172119
West Virginia,24230,62756,24038,62259
Wisconsin,65496,169635,54158,140268
Wyoming,97813,253335,97093,251470
Puerto Rico,5325,13791,3424,8868
American Samoa,581,1505,76,198
Guam,571,1478,210,543
Northern Mariana Islands,1976,5117,182,472
U.S. Virgin Islands,733,1898,134,348
